"ACCOUNT_GUID","MEMBER_GUID","CREATION_DATE"
"e4c8c6b8-cf66-11ee-972b-e00af6801390","e4c82aba-cf66-11ee-bfc8-e00af6801390","2023-06-26"
"e4c8c6b9-cf66-11ee-b779-e00af6801390","e4c7dc7f-cf66-11ee-aa99-e00af6801390","2022-03-16"
"e4c8c6ba-cf66-11ee-9a2c-e00af6801390","e4c82aad-cf66-11ee-a181-e00af6801390","2023-05-06"
"e4c8c6bb-cf66-11ee-a80f-e00af6801390","e4c87cce-cf66-11ee-bc8b-e00af6801390","2023-10-09"
"e4c8c6bc-cf66-11ee-9030-e00af6801390","e4c82aa4-cf66-11ee-b748-e00af6801390","2022-06-21"
"e4c8c6bd-cf66-11ee-b88e-e00af6801390","e4c7b553-cf66-11ee-aa1f-e00af6801390","2023-04-20"
"e4c8c6be-cf66-11ee-8407-e00af6801390","e4c7b54e-cf66-11ee-8ed8-e00af6801390","2023-09-29"
"e4c8c6bf-cf66-11ee-ad24-e00af6801390","e4c78e70-cf66-11ee-9c45-e00af6801390","2023-11-14"
"e4c8c6c0-cf66-11ee-a0be-e00af6801390","e4c78e79-cf66-11ee-b9ca-e00af6801390","2023-05-30"
"e4c8c6c1-cf66-11ee-a840-e00af6801390","e4c76755-cf66-11ee-8ef1-e00af6801390","2023-07-27"
"e4c8c6c2-cf66-11ee-890c-e00af6801390","e4c82ad2-cf66-11ee-8b95-e00af6801390","2022-03-28"
"e4c8edd7-cf66-11ee-9e30-e00af6801390","e4c78e49-cf66-11ee-8eba-e00af6801390","2023-04-24"
"e4c8edd8-cf66-11ee-8c75-e00af6801390","e4c82acd-cf66-11ee-859f-e00af6801390","2023-09-30"
"e4c8edd9-cf66-11ee-acad-e00af6801390","e4c82ad1-cf66-11ee-8522-e00af6801390","2024-01-19"
"e4c8f001-cf66-11ee-9b8d-e00af6801390","e4c85194-cf66-11ee-a0d4-e00af6801390","2023-12-26"
"e4c8f002-cf66-11ee-959c-e00af6801390","e4c7dc5a-cf66-11ee-bcf9-e00af6801390","2022-11-07"
"e4c8f003-cf66-11ee-910b-e00af6801390","e4c7dc95-cf66-11ee-8e3f-e00af6801390","2022-08-31"
"e4c8f004-cf66-11ee-9073-e00af6801390","e4c7673f-cf66-11ee-8d36-e00af6801390","2022-09-20"
"e4c8f005-cf66-11ee-93e1-e00af6801390","e4c76751-cf66-11ee-a02d-e00af6801390","2023-01-29"
"e4c8f006-cf66-11ee-b47f-e00af6801390","e4c7b558-cf66-11ee-abbf-e00af6801390","2022-08-02"
"e4c8f007-cf66-11ee-ab78-e00af6801390","e4c7b582-cf66-11ee-a429-e00af6801390","2023-09-26"
"e4c8f008-cf66-11ee-98ff-e00af6801390","e4c7dc76-cf66-11ee-9b80-e00af6801390","2022-08-17"
"e4c8f43c-cf66-11ee-9160-e00af6801390","e4c7b581-cf66-11ee-8891-e00af6801390","2023-03-11"
"e4c8f43d-cf66-11ee-8c00-e00af6801390","e4c76757-cf66-11ee-a49c-e00af6801390","2023-07-25"
"e4c8f43e-cf66-11ee-abd4-e00af6801390","e4c76754-cf66-11ee-857f-e00af6801390","2023-05-17"
"e4c8f43f-cf66-11ee-b66a-e00af6801390","e4c78e46-cf66-11ee-84cb-e00af6801390","2022-12-12"
"e4c8f440-cf66-11ee-8b0b-e00af6801390","e4c7dc99-cf66-11ee-8dbc-e00af6801390","2023-02-11"
"e4c8f441-cf66-11ee-978c-e00af6801390","e4c82acf-cf66-11ee-8545-e00af6801390","2022-09-03"
"e4c8f442-cf66-11ee-ab33-e00af6801390","e4c7dc7b-cf66-11ee-9094-e00af6801390","2022-11-19"
"e4c8f443-cf66-11ee-8691-e00af6801390","e4c82ac8-cf66-11ee-bcd5-e00af6801390","2023-12-15"
"e4c8f444-cf66-11ee-9a44-e00af6801390","e4c87cc8-cf66-11ee-9306-e00af6801390","2023-09-27"
"e4c8f445-cf66-11ee-b82f-e00af6801390","e4c76765-cf66-11ee-9bc2-e00af6801390","2023-06-05"
"e4c8f446-cf66-11ee-87c1-e00af6801390","e4c7675c-cf66-11ee-aa8d-e00af6801390","2023-03-20"
"e4c8f447-cf66-11ee-baa5-e00af6801390","e4c78e83-cf66-11ee-9a7c-e00af6801390","2023-04-19"
"e4c8f448-cf66-11ee-9211-e00af6801390","e4c7dc71-cf66-11ee-b177-e00af6801390","2023-12-03"
"e4c8f449-cf66-11ee-aecc-e00af6801390","e4c78e79-cf66-11ee-b9ca-e00af6801390","2022-11-30"
"e4c8f44a-cf66-11ee-8fb8-e00af6801390","e4c8038d-cf66-11ee-9daa-e00af6801390","2023-08-29"
"e4c8f44b-cf66-11ee-a52a-e00af6801390","e4c76731-cf66-11ee-84bd-e00af6801390","2023-07-31"
"e4c8f44c-cf66-11ee-bb23-e00af6801390","e4c76751-cf66-11ee-a02d-e00af6801390","2022-04-15"
"e4c8f44d-cf66-11ee-b65e-e00af6801390","e4c851d1-cf66-11ee-a974-e00af6801390","2023-03-29"
"e4c8f44e-cf66-11ee-8dcb-e00af6801390","e4c80395-cf66-11ee-80b5-e00af6801390","2023-12-01"
"e4c8f44f-cf66-11ee-955d-e00af6801390","e4c7b576-cf66-11ee-b8da-e00af6801390","2022-08-07"
"e4c8f450-cf66-11ee-beb5-e00af6801390","e4c7b587-cf66-11ee-8442-e00af6801390","2023-07-03"
"e4c8f451-cf66-11ee-9a42-e00af6801390","e4c82abb-cf66-11ee-a360-e00af6801390","2022-07-22"
"e4c8f452-cf66-11ee-8bd6-e00af6801390","e4c78e69-cf66-11ee-b245-e00af6801390","2023-08-09"
"e4c8f453-cf66-11ee-8d39-e00af6801390","e4c7b569-cf66-11ee-8893-e00af6801390","2022-08-20"
"e4c8f454-cf66-11ee-a328-e00af6801390","e4c7b568-cf66-11ee-8068-e00af6801390","2022-08-15"
"e4c8f455-cf66-11ee-8b1f-e00af6801390","e4c80376-cf66-11ee-a4bf-e00af6801390","2022-03-07"
"e4c8f456-cf66-11ee-a761-e00af6801390","e4c82ab1-cf66-11ee-a5f0-e00af6801390","2022-08-29"
"e4c8f457-cf66-11ee-a21e-e00af6801390","e4c82aa4-cf66-11ee-b748-e00af6801390","2024-01-05"
"e4c8f458-cf66-11ee-91af-e00af6801390","e4c80396-cf66-11ee-adc1-e00af6801390","2023-05-13"
"e4c8f459-cf66-11ee-a044-e00af6801390","e4c78e57-cf66-11ee-8f91-e00af6801390","2022-03-16"
"e4c8f45a-cf66-11ee-be9d-e00af6801390","e4c7dc96-cf66-11ee-a930-e00af6801390","2023-10-18"
"e4c8f45b-cf66-11ee-876f-e00af6801390","e4c7dc97-cf66-11ee-a90e-e00af6801390","2022-04-29"
"e4c8f45c-cf66-11ee-b96a-e00af6801390","e4c7dc7a-cf66-11ee-9c29-e00af6801390","2022-05-07"
"e4c8f45d-cf66-11ee-8749-e00af6801390","e4c7675d-cf66-11ee-8572-e00af6801390","2023-04-12"
"e4c8f45e-cf66-11ee-92cc-e00af6801390","e4c851d0-cf66-11ee-bd1a-e00af6801390","2023-06-29"
"e4c8f45f-cf66-11ee-9bdd-e00af6801390","e4c7dc66-cf66-11ee-935d-e00af6801390","2023-05-20"
"e4c8f460-cf66-11ee-94e7-e00af6801390","e4c8038d-cf66-11ee-9daa-e00af6801390","2024-01-07"
