"ACCOUNT_GUID","TRANSACTION_AMOUNT","POST_DATE"
"e4c9909e-cf66-11ee-ae57-e00af6801390","6702.18","2023-09-14"
"e4c9dedb-cf66-11ee-9edf-e00af6801390","3105.77","2022-05-14"
"e4ca05be-cf66-11ee-96e6-e00af6801390","-9509.93","2023-09-09"
"e4c990b9-cf66-11ee-a812-e00af6801390","1477.42","2023-01-09"
"e4ca5404-cf66-11ee-8863-e00af6801390","-936.86","2022-09-15"
"e4ca7ae5-cf66-11ee-ae29-e00af6801390","1565.1","2023-11-05"
"e4c9dead-cf66-11ee-915e-e00af6801390","7870.88","2023-05-06"
"e4c969ad-cf66-11ee-8423-e00af6801390","-588.4","2022-04-07"
"e4c9b7dc-cf66-11ee-9066-e00af6801390","8474.47","2023-05-07"
"e4c990cc-cf66-11ee-8681-e00af6801390","6450.73","2022-07-23"
"e4c990a1-cf66-11ee-85b0-e00af6801390","3172.1","2023-07-06"
"e4c942a5-cf66-11ee-8160-e00af6801390","8727.32","2023-07-09"
"e4ca540d-cf66-11ee-96d7-e00af6801390","-1039.51","2023-12-07"
"e4c990ad-cf66-11ee-bd0f-e00af6801390","121.53","2022-02-26"
"e4caa1f6-cf66-11ee-812a-e00af6801390","550.20","2023-02-09"
"e4caa237-cf66-11ee-b171-e00af6801390","-9696.36","2022-03-14"
"e4c8c6bd-cf66-11ee-b88e-e00af6801390","4284.60","2023-05-12"
"e4c9deea-cf66-11ee-a924-e00af6801390","1821.53","2023-11-29"
"e4c96980-cf66-11ee-b46c-e00af6801390","-948.90","2022-11-28"
"e4c9dec8-cf66-11ee-bbaf-e00af6801390","-4879.28","2023-04-09"
"e4ca2cf1-cf66-11ee-8bbb-e00af6801390","-2167.58","2023-02-03"
"e4c9dec5-cf66-11ee-945e-e00af6801390","-3455.63","2023-07-25"
"e4ca05bc-cf66-11ee-b1dd-e00af6801390","9253.95","2023-08-09"
"e4ca05cb-cf66-11ee-86b1-e00af6801390","-4457.80","2023-02-05"
"e4c8f46a-cf66-11ee-8258-e00af6801390","8816.80","2023-07-05"
"e4c969a9-cf66-11ee-866b-e00af6801390","8195.38","2023-08-27"
